"station","tag","sample_id","depth","division","genus","asv","sum_reads","repl"
"EMB262_6_28_MUC","EMB262_6_28_MUC_5","PA052E",5,"Dinoflagellata","Apocalathium",1,26.5,4
"EMB262_6_28_MUC","EMB262_6_28_MUC_5","PA052E",5,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_50","PA194E",50,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_50","PA194E",50,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_51","PA259E",51,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_51","PA259E",51,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_7","PA063E",7,"Dinoflagellata","Apocalathium",1,91,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_7","PA063E",7,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_9","PA128E",9,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_9","PA128E",9,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_1","PA280E",542,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_1","PA280E",542,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_10","PA292E",452,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_10","PA292E",452,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_12","PA251E",52,"Dinoflagellata","Apocalathium",1,0.75,1
"EMB262_6_30_GC","EMB262_6_30_GC_12","PA251E",52,"Ochrophyta","Skeletonema",2,3,2
"EMB262_6_30_GC","EMB262_6_30_GC_13","PA242E",47,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_13","PA242E",47,"Ochrophyta","Skeletonema",2,2,2
"EMB262_6_30_GC","EMB262_6_30_GC_14","PA232E",42,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_14","PA232E",42,"Ochrophyta","Skeletonema",2,3,2
"EMB262_6_30_GC","EMB262_6_30_GC_15","PA196E",37,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_15","PA196E",37,"Ochrophyta","Skeletonema",1,0.25,1
"EMB262_6_30_GC","EMB262_6_30_GC_16","PA210E",32,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_16","PA210E",32,"Ochrophyta","Skeletonema",1,0.5,2
"EMB262_6_30_GC","EMB262_6_30_GC_17","PA190E",146,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_17","PA190E",146,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_18","PA234E",142,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_18","PA234E",142,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_19","PA205E",137,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_19","PA205E",137,"Ochrophyta","Skeletonema",2,3,2
"EMB262_6_30_GC","EMB262_6_30_GC_2","PA262E",532,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_2","PA262E",532,"Ochrophyta","Skeletonema",1,12,1
"EMB262_6_30_GC","EMB262_6_30_GC_20","PA217E",132,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_20","PA217E",132,"Ochrophyta","Skeletonema",2,8.75,4
"EMB262_6_30_GC","EMB262_6_30_GC_21","PA238E",127,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_30_GC","EMB262_6_30_GC_21","PA238E",127,"Ochrophyta","Skeletonema",3,9.75,4
