"station","age","depth","sample_weight","tag","sample_id","kingdom","Interest","repl.pa","sum.reads","norm.reads"
"EMB262_13_8_MUC",1985,24,707,"EMB262_13_8_MUC_16","PA125E","Eukaryota","Dinoflagellata",179,7116.25,5032.70862800566
"EMB262_13_8_MUC",1986,22,512,"EMB262_13_8_MUC_17","PA080E","Eukaryota","Diatom",28,157,153.3203125
"EMB262_13_8_MUC",1986,22,512,"EMB262_13_8_MUC_17","PA080E","Eukaryota","Dinoflagellata",140,4673.25,4563.720703125
"EMB262_13_8_MUC",1992,20,624,"EMB262_13_8_MUC_18","PA073E","Eukaryota","Diatom",85,5626.25,4508.21314102564
"EMB262_13_8_MUC",1992,20,624,"EMB262_13_8_MUC_18","PA073E","Eukaryota","Dinoflagellata",557,28182.5,22582.1314102564
"EMB262_13_8_MUC",1994,18,561,"EMB262_13_8_MUC_19","PA071E","Eukaryota","Diatom",5,5.75,5.12477718360071
"EMB262_13_8_MUC",1994,18,561,"EMB262_13_8_MUC_19","PA071E","Eukaryota","Dinoflagellata",122,3665.5,3266.93404634581
"EMB262_13_8_MUC",1997,16,564,"EMB262_13_8_MUC_20","PA176E","Eukaryota","Diatom",3,1.75,1.55141843971631
"EMB262_13_8_MUC",1997,16,564,"EMB262_13_8_MUC_20","PA176E","Eukaryota","Dinoflagellata",182,5589,4954.78723404255
"EMB262_13_8_MUC",1999,14,957,"EMB262_13_8_MUC_21","PA057E","Eukaryota","Diatom",24,50.5,26.3845350052247
"EMB262_13_8_MUC",1999,14,957,"EMB262_13_8_MUC_21","PA057E","Eukaryota","Dinoflagellata",767,51559.5,26938.0877742947
"EMB262_13_8_MUC",2002,12,761,"EMB262_13_8_MUC_22","PA058E","Eukaryota","Diatom",17,33.5,22.0105124835742
"EMB262_13_8_MUC",2002,12,761,"EMB262_13_8_MUC_22","PA058E","Eukaryota","Dinoflagellata",704,70100,46057.8186596583
"EMB262_13_8_MUC",2004,10,983,"EMB262_13_8_MUC_23","PA060E","Eukaryota","Diatom",60,2842.5,1445.82909460834
"EMB262_13_8_MUC",2004,10,983,"EMB262_13_8_MUC_23","PA060E","Eukaryota","Dinoflagellata",516,23748,12079.3489318413
"EMB262_13_8_MUC",2005,8,762,"EMB262_13_8_MUC_24","PA126E","Eukaryota","Diatom",40,1195.25,784.284776902887
"EMB262_13_8_MUC",2005,8,762,"EMB262_13_8_MUC_24","PA126E","Eukaryota","Dinoflagellata",482,24978,16389.7637795276
"EMB262_13_8_MUC",2012,6,797,"EMB262_13_8_MUC_25","PA061E","Eukaryota","Diatom",10,8,5.01882057716437
"EMB262_13_8_MUC",2012,6,797,"EMB262_13_8_MUC_25","PA061E","Eukaryota","Dinoflagellata",292,14199,8907.7791718946
"EMB262_13_8_MUC",2015,4,649,"EMB262_13_8_MUC_26","PA059E","Eukaryota","Diatom",41,1393.25,1073.38212634823
"EMB262_13_8_MUC",2015,4,649,"EMB262_13_8_MUC_26","PA059E","Eukaryota","Dinoflagellata",412,30687,23641.7565485362
"EMB262_6_28_MUC",1780,52,474,"EMB262_6_28_MUC_52","PA288E","Eukaryota","Diatom",22,47.5,50.1054852320675
"EMB262_6_28_MUC",1780,52,474,"EMB262_6_28_MUC_52","PA288E","Eukaryota","Dinoflagellata",429,15163.75,15995.5168776371
"EMB262_6_28_MUC",1785,51,537,"EMB262_6_28_MUC_51","PA259E","Eukaryota","Diatom",0,0,0
"EMB262_6_28_MUC",1785,51,537,"EMB262_6_28_MUC_51","PA259E","Eukaryota","Dinoflagellata",4,4,3.7243947858473
"EMB262_6_28_MUC",1790,50,666,"EMB262_6_28_MUC_50","PA194E","Eukaryota","Diatom",12,16,12.012012012012
"EMB262_6_28_MUC",1790,50,666,"EMB262_6_28_MUC_50","PA194E","Eukaryota","Dinoflagellata",362,7381,5541.29129129129
"EMB262_6_28_MUC",1796,49,578,"EMB262_6_28_MUC_49","PA167E","Eukaryota","Diatom",22,72.25,62.5
"EMB262_6_28_MUC",1796,49,578,"EMB262_6_28_MUC_49","PA167E","Eukaryota","Dinoflagellata",662,27662.25,23929.2820069204
"EMB262_6_28_MUC",1801,48,521,"EMB262_6_28_MUC_48","PA160E","Eukaryota","Diatom",18,61.25,58.7811900191939
"EMB262_6_28_MUC",1801,48,521,"EMB262_6_28_MUC_48","PA160E","Eukaryota","Dinoflagellata",673,32285.25,30983.9251439539
"EMB262_6_28_MUC",1802,47,629,"EMB262_6_28_MUC_47","PA169E","Eukaryota","Diatom",8,16.25,12.9173290937997
"EMB262_6_28_MUC",1802,47,629,"EMB262_6_28_MUC_47","PA169E","Eukaryota","Dinoflagellata",237,7159.25,5690.97774244833
"EMB262_6_28_MUC",1808,46,808,"EMB262_6_28_MUC_46","PA189E","Eukaryota","Diatom",24,50,30.9405940594059
"EMB262_6_28_MUC",1808,46,808,"EMB262_6_28_MUC_46","PA189E","Eukaryota","Dinoflagellata",600,19811.75,12259.7462871287
"EMB262_6_28_MUC",1813,45,531,"EMB262_6_28_MUC_45","PA156E","Eukaryota","Diatom",23,84.75,79.8022598870056
"EMB262_6_28_MUC",1813,45,531,"EMB262_6_28_MUC_45","PA156E","Eukaryota","Dinoflagellata",380,13573.25,12780.8380414313
"EMB262_6_28_MUC",1819,44,730,"EMB262_6_28_MUC_44","PA149E","Eukaryota","Diatom",20,275,188.356164383562
"EMB262_6_28_MUC",1819,44,730,"EMB262_6_28_MUC_44","PA149E","Eukaryota","Dinoflagellata",306,18429.5,12622.9452054795
"EMB262_6_28_MUC",1824,43,918,"EMB262_6_28_MUC_43","PA171E","Eukaryota","Diatom",24,306,166.666666666667
"EMB262_6_28_MUC",1824,43,918,"EMB262_6_28_MUC_43","PA171E","Eukaryota","Dinoflagellata",400,15122,8236.38344226579
"EMB262_6_28_MUC",1829,42,619,"EMB262_6_28_MUC_42","PA161E","Eukaryota","Diatom",9,205,165.589660743134
"EMB262_6_28_MUC",1829,42,619,"EMB262_6_28_MUC_42","PA161E","Eukaryota","Dinoflagellata",205,12629.5,10201.534733441
"EMB262_6_28_MUC",1835,41,629,"EMB262_6_28_MUC_41","PA165E","Eukaryota","Diatom",16,126,100.158982511924
"EMB262_6_28_MUC",1835,41,629,"EMB262_6_28_MUC_41","PA165E","Eukaryota","Dinoflagellata",321,8781.75,6980.72337042925
"EMB262_6_28_MUC",1840,40,653,"EMB262_6_28_MUC_40","PA178E","Eukaryota","Diatom",30,126.5,96.8606431852986
"EMB262_6_28_MUC",1840,40,653,"EMB262_6_28_MUC_40","PA178E","Eukaryota","Dinoflagellata",580,25391.5,19442.1898928024
"EMB262_6_28_MUC",1846,39,695,"EMB262_6_28_MUC_39","PA140E","Eukaryota","Diatom",10,46.5,33.4532374100719
"EMB262_6_28_MUC",1846,39,695,"EMB262_6_28_MUC_39","PA140E","Eukaryota","Dinoflagellata",199,14695,10571.9424460432
"EMB262_6_28_MUC",1851,38,633,"EMB262_6_28_MUC_38","PA138E","Eukaryota","Diatom",4,12.5,9.87361769352291
"EMB262_6_28_MUC",1851,38,633,"EMB262_6_28_MUC_38","PA138E","Eukaryota","Dinoflagellata",205,12763.25,10081.5560821485
"EMB262_6_28_MUC",1856,37,477,"EMB262_6_28_MUC_37","PA193E","Eukaryota","Diatom",20,59.75,62.6310272536688
"EMB262_6_28_MUC",1856,37,477,"EMB262_6_28_MUC_37","PA193E","Eukaryota","Dinoflagellata",549,23848,24997.9035639413
"EMB262_6_28_MUC",1862,36,526,"EMB262_6_28_MUC_36","PA151E","Eukaryota","Diatom",16,58,55.1330798479087
"EMB262_6_28_MUC",1862,36,526,"EMB262_6_28_MUC_36","PA151E","Eukaryota","Dinoflagellata",288,14343,13634.030418251
"EMB262_6_28_MUC",1867,35,677,"EMB262_6_28_MUC_35","PA143E","Eukaryota","Diatom",17,31.75,23.4490398818316
"EMB262_6_28_MUC",1867,35,677,"EMB262_6_28_MUC_35","PA143E","Eukaryota","Dinoflagellata",254,13307.75,9828.47119645495
"EMB262_6_28_MUC",1873,34,839,"EMB262_6_28_MUC_34","PA113E","Eukaryota","Diatom",8,13,7.74731823599523
"EMB262_6_28_MUC",1873,34,839,"EMB262_6_28_MUC_34","PA113E","Eukaryota","Dinoflagellata",273,9715.5,5789.92848629321
"EMB262_6_28_MUC",1878,33,477,"EMB262_6_28_MUC_33","PA181E","Eukaryota","Diatom",18,43.5,45.5974842767296
"EMB262_6_28_MUC",1878,33,477,"EMB262_6_28_MUC_33","PA181E","Eukaryota","Dinoflagellata",388,10381,10881.5513626834
"EMB262_6_28_MUC",1884,32,539,"EMB262_6_28_MUC_32","PA153E","Eukaryota","Diatom",12,29,26.9016697588126
"EMB262_6_28_MUC",1884,32,539,"EMB262_6_28_MUC_32","PA153E","Eukaryota","Dinoflagellata",287,20602,19111.3172541744
"EMB262_6_28_MUC",1889,31,396,"EMB262_6_28_MUC_31","PA139E","Eukaryota","Diatom",52,4193.25,5294.50757575758
"EMB262_6_28_MUC",1889,31,396,"EMB262_6_28_MUC_31","PA139E","Eukaryota","Dinoflagellata",329,20742.75,26190.3409090909
"EMB262_6_28_MUC",1894,30,751,"EMB262_6_28_MUC_30","PA148E","Eukaryota","Diatom",41,1530.5,1018.97470039947
"EMB262_6_28_MUC",1894,30,751,"EMB262_6_28_MUC_30","PA148E","Eukaryota","Dinoflagellata",273,7468.75,4972.53661784288
"EMB262_6_28_MUC",1900,29,563,"EMB262_6_28_MUC_29","PA162E","Eukaryota","Diatom",78,6667.5,5921.40319715808
"EMB262_6_28_MUC",1900,29,563,"EMB262_6_28_MUC_29","PA162E","Eukaryota","Dinoflagellata",320,8230.25,7309.28063943162
"EMB262_6_28_MUC",1905,28,650,"EMB262_6_28_MUC_28","PA208E","Eukaryota","Diatom",46,97.25,74.8076923076923
"EMB262_6_28_MUC",1905,28,650,"EMB262_6_28_MUC_28","PA208E","Eukaryota","Dinoflagellata",367,10228.75,7868.26923076923
"EMB262_6_28_MUC",1905,28,719,"EMB262_6_28_MUC_28","PA142E","Eukaryota","Diatom",43,14362.25,9987.65646731572
"EMB262_6_28_MUC",1905,28,719,"EMB262_6_28_MUC_28","PA142E","Eukaryota","Dinoflagellata",308,22453.5,15614.3949930459
"EMB262_6_28_MUC",1911,27,679,"EMB262_6_28_MUC_27","PA144E","Eukaryota","Diatom",30,122.5,90.2061855670103
"EMB262_6_28_MUC",1911,27,679,"EMB262_6_28_MUC_27","PA144E","Eukaryota","Dinoflagellata",342,15855.75,11675.8100147275
"EMB262_6_28_MUC",1916,26,717,"EMB262_6_28_MUC_26","PA150E","Eukaryota","Diatom",19,94.25,65.7252440725244
"EMB262_6_28_MUC",1916,26,717,"EMB262_6_28_MUC_26","PA150E","Eukaryota","Dinoflagellata",371,18918,13192.4686192469
"EMB262_6_28_MUC",1927,24,631,"EMB262_6_28_MUC_24","PA158E","Eukaryota","Diatom",16,59,46.7511885895404
"EMB262_6_28_MUC",1927,24,631,"EMB262_6_28_MUC_24","PA158E","Eukaryota","Dinoflagellata",298,20922.5,16578.8431061807
"EMB262_6_28_MUC",1932,23,889,"EMB262_6_28_MUC_23","PA107E","Eukaryota","Diatom",11,21.25,11.9516310461192
"EMB262_6_28_MUC",1932,23,889,"EMB262_6_28_MUC_23","PA107E","Eukaryota","Dinoflagellata",472,31879.5,17929.9775028122
"EMB262_6_28_MUC",1938,22,800,"EMB262_6_28_MUC_22","PA109E","Eukaryota","Diatom",23,340.75,212.96875
"EMB262_6_28_MUC",1938,22,800,"EMB262_6_28_MUC_22","PA109E","Eukaryota","Dinoflagellata",248,9990.25,6243.90625
"EMB262_6_28_MUC",1943,21,735,"EMB262_6_28_MUC_21","PA095E","Eukaryota","Diatom",26,48.5,32.9931972789116
"EMB262_6_28_MUC",1943,21,735,"EMB262_6_28_MUC_21","PA095E","Eukaryota","Dinoflagellata",333,12242.75,8328.40136054422
"EMB262_6_28_MUC",1949,20,705,"EMB262_6_28_MUC_20","PA087E","Eukaryota","Diatom",64,2952.75,2094.14893617021
"EMB262_6_28_MUC",1949,20,705,"EMB262_6_28_MUC_20","PA087E","Eukaryota","Dinoflagellata",498,18621.5,13206.7375886525
"EMB262_6_28_MUC",1954,19,660,"EMB262_6_28_MUC_19","PA135E","Eukaryota","Diatom",19,750.5,568.560606060606
"EMB262_6_28_MUC",1954,19,660,"EMB262_6_28_MUC_19","PA135E","Eukaryota","Dinoflagellata",139,6150.75,4659.65909090909
"EMB262_6_28_MUC",1957,18,557,"EMB262_6_28_MUC_18","PA075E","Eukaryota","Diatom",9,5.5,4.93716337522442
